Student_ID,Age,Gender,Lifestyle_Habits,Day,Sleep_Hours,Stress_Level,Study_Hours,Screen_Time_Post_10PM,Physical_Activity_Minutes,Mood_Score,Sleep_Debt,Stress_Per_Study_Hour,Burnout_Risk_Score,Overall_Wellbeing_Score,Sleep_Quality_Score,Mental_Fatigue_Score
S00003_D090,25,Other,Occasional Drinker,90,5.6959729395540935,7,4.784378363024751,2.1777893823781245,79,4.148891138607397,2.6896119786608725,1.46,5.54,-1.39,5.33,5.7
S00003_D182,25,Other,Occasional Drinker,182,5.796549830225896,8,2.8461362980625102,2.518595522773402,28,1.5219160454385068,2.7133617128520195,2.81,9.19,-7.67,5.68,8.83
S00003_D365,25,Other,Occasional Drinker,365,6.4506706093732,10,3.3373887879335666,3.175905939855282,33,1.749739335723751,3.141845997830488,3.0,11.39,-9.64,6.24,9.82
S00004_D003,23,Other,Fast Food Lover,3,6.6493110579710555,6,7.517951057553602,1.5349497992255052,83,8.18100265246144,0.8261650432403519,0.8,-1.35,9.53,6.17,0.23
S00004_D007,23,Other,Fast Food Lover,7,4.519131648753312,9,2.872392146872276,2.4608356315520763,21,7.774009522166615,1.4012656725040813,3.13,2.63,5.14,4.56,2.43
S00004_D014,23,Other,Fast Food Lover,14,5.373107285615949,3,3.419870302909871,3.5447281710354845,66,5.765365514692057,2.1775841788877286,0.88,-0.59,6.36,5.11,1.82
S00004_D021,23,Other,Fast Food Lover,21,4.810146189687261,10,4.469529726410634,3.2547420735194224,54,5.611336117100516,2.363203151888899,2.24,6.75,-1.14,4.66,5.57
S00004_D030,23,Other,Fast Food Lover,30,5.9689242013819115,8,3.963433686958119,2.593038366648122,69,6.878519450380809,2.369088528741893,2.02,3.49,3.39,5.63,3.31
S00004_D045,23,Other,Fast Food Lover,45,6.13959166826061,10,2.8653835761667055,3.533235676911283,31,3.4495789419349228,2.2790016977520016,3.49,8.83,-5.38,5.97,7.69
S00004_D090,23,Other,Fast Food Lover,90,4.571322522605753,6,6.175710669504175,2.169550980681506,23,4.372932083777243,3.6142931143382957,0.97,5.24,-0.87,4.6,5.43
S00004_D182,23,Other,Fast Food Lover,182,4.637375913902805,7,2.0363098338346943,1.391328781979984,2,3.5023722999749456,2.7349782863008625,3.44,6.23,-2.73,4.76,6.36
S00004_D365,23,Other,Fast Food Lover,365,7.045552175863617,7,5.646992084287227,2.55496668085861,56,4.573919177139432,3.3535625328503342,1.24,5.78,-1.21,6.66,5.6
S00005_D003,18,Female,Non-Smoker,3,6.064264996612563,5,5.026371772113643,2.995617218386803,52,7.770951172409722,0.24972961053872011,0.99,-2.52,10.29,5.8,-0.15
S00005_D007,18,Female,Non-Smoker,7,6.634762413990901,1,3.4908409520504033,0.4910669500829643,39,6.226406380955151,2.50446713898303,0.29,-2.72,8.95,6.38,0.53
S00005_D014,18,Female,Non-Smoker,14,4.55584619721392,6,4.515290693639088,2.902908202131058,59,6.1140172919497875,1.5261643118071349,1.33,1.41,4.7,4.41,2.65
S00005_D021,18,Female,Non-Smoker,21,6.650349178203277,10,2.3926079351478924,3.0479865500604317,46,5.5096883598549065,1.6600105206477669,4.18,6.15,-0.64,6.36,5.32
S00005_D030,18,Female,Non-Smoker,30,7.71939329651363,7,4.109678532000103,3.1929356379135068,71,7.5191785839710565,1.8585965974430343,1.7,1.34,6.18,7.19,1.91
S00005_D045,18,Female,Non-Smoker,45,5.22361634788194,8,5.3608656263197805,2.4241009005892926,81,4.59879583914995,2.4917834271623356,1.49,5.89,-1.29,4.9,5.65
S00005_D090,18,Female,Non-Smoker,90,6.195325340094537,3,2.754343335377955,2.555272964392994,65,4.132411275530242,2.9282068951902636,1.09,1.8,2.33,5.85,3.83
S00005_D182,18,Female,Non-Smoker,182,4.5081291810294655,7,4.28425714881645,2.5884720275418656,52,3.4320563360972662,2.870055428133738,1.63,6.44,-3.01,4.4,6.5
S00005_D365,18,Female,Non-Smoker,365,6.00418227497138,6,3.739869164147228,5.169819095418082,58,6.489244112895182,3.4998121068955927,1.6,3.01,3.48,5.71,3.26
S00006_D003,19,Male,Gym Goer,3,6.089639285815473,8,3.137048373873611,2.68920665286185,41,4.472262883091879,2.034727378927309,2.55,5.56,-1.09,5.88,5.54
S00006_D007,19,Male,Gym Goer,7,6.0485212427415345,4,4.165046354841886,2.946860408028678,51,6.904921786113589,1.3535920805095225,0.96,-1.55,8.45,5.79,0.77
S00006_D014,19,Male,Gym Goer,14,4.599943966441497,3,1.628592466893478,1.473242247000293,52,6.475580389933898,1.4025522418897443,1.84,-2.07,8.55,4.48,0.73
S00006_D021,19,Male,Gym Goer,21,5.697273019224994,5,5.710344229897853,0.07166644587074567,76,6.510013946353293,2.2368892032272867,0.88,0.73,5.78,5.35,2.11
S00006_D030,19,Male,Gym Goer,30,7.360601164747785,9,5.299949961663557,3.4008153112551716,55,4.738737652454269,2.004114806273848,1.7,6.27,-1.53,6.95,5.77
S00006_D045,19,Male,Gym Goer,45,5.38033163949021,10,3.8484532182887463,3.9758377451638705,61,4.889326653904196,1.9955433089682912,2.6,7.11,-2.22,5.14,6.11
S00006_D090,19,Male,Gym Goer,90,6.9648450331921765,6,2.9497239834143345,1.767222468481759,35,6.16484978111033,3.3160878024155123,2.03,3.15,3.01,6.69,3.49
S00006_D182,19,Male,Gym Goer,182,4.5337142215821755,6,3.325827083871865,2.9341856961123907,73,4.566266070831232,1.7933277016201632,1.8,3.23,1.34,4.32,4.33
S00006_D365,19,Male,Gym Goer,365,5.876911006021243,5,0.75720260948634,2.621309288013758,48,3.5776830631982173,2.9134605899192065,6.6,4.34,-0.76,5.65,5.38
S00007_D003,25,Other,Occasional Drinker,3,6.8211074582355,1,0.5,1.7292953719038753,69,7.9314567757476055,0.7037635587974536,2.0,-6.23,14.16,6.39,-2.08
S00007_D007,25,Other,Occasional Drinker,7,6.945963646653495,4,5.759314410924301,3.430959223022033,55,6.3743427715855985,1.532659927078358,0.69,-0.84,7.21,6.58,1.39
S00007_D014,25,Other,Occasional Drinker,14,7.130614918232651,7,3.11320893426184,2.9903369398572406,85,5.872353156329999,1.897642626339712,2.25,3.03,2.84,6.59,3.58
S00007_D021,25,Other,Occasional Drinker,21,6.85581724840002,6,5.2361694885850865,2.10176208502187,29,3.506450225322718,1.2724585569373896,1.15,3.77,-0.26,6.63,5.13
S00007_D030,25,Other,Occasional Drinker,30,6.079912183499633,5,6.05493208154259,2.901507156559939,35,6.594562924634323,2.6286581745917053,0.83,1.03,5.56,5.9,2.22
S00007_D045,25,Other,Occasional Drinker,45,5.249329560894038,4,4.128887186725262,3.293848744384991,44,4.407054721423455,2.2506036896360815,0.97,1.84,2.57,5.1,3.72
S00007_D090,25,Other,Occasional Drinker,90,6.869809914011385,5,3.807388508954588,2.2047712730916365,29,2.5119997909604646,2.6447196148436287,1.31,5.13,-2.62,6.64,6.31
S00007_D182,25,Other,Occasional Drinker,182,7.3671959703574945,10,5.642172753262006,2.4575477427275425,49,4.985197742281202,1.8791492097899882,1.77,6.89,-1.9,6.99,5.95
S00007_D365,25,Other,Occasional Drinker,365,6.519813338199304,7,1.9123264961248583,3.8913371685908364,73,3.5631847452880803,3.5983888458391196,3.66,7.04,-3.48,6.1,6.74
S00008_D003,17,Other,Yoga Enthusiast,3,5.718818758886774,4,1.9946854813869366,2.1768658610448814,71,4.733619814010305,0.87392872544885,2.01,0.14,4.59,5.39,2.7
S00008_D007,17,Other,Yoga Enthusiast,7,7.233540518964979,4,5.096001717553049,4.056582411408476,81,6.198449189057006,0.9860239646379301,0.78,-1.21,7.41,6.71,1.3
S00008_D014,17,Other,Yoga Enthusiast,14,6.080210941006085,5,3.7966223848555325,4.142863551305962,46,4.373563010598306,1.102324373656271,1.32,1.73,2.64,5.84,3.68
S00008_D021,17,Other,Yoga Enthusiast,21,5.904487583651978,5,5.785980293688953,1.1761186602342164,32,2.8348816210012506,1.8782329597592906,0.86,4.04,-1.21,5.75,5.6
S00008_D030,17,Other,Yoga Enthusiast,30,5.93763042832806,6,4.177980459509868,2.1673905453380415,69,4.297477674968237,1.9264166915326957,1.44,3.63,0.67,5.6,4.67
S00008_D045,17,Other,Yoga Enthusiast,45,4.705148801912408,5,6.34095118401012,1.7601833848547632,38,3.1319115784064966,1.8588430692623121,0.79,3.73,-0.6,4.64,5.3
S00008_D090,17,Other,Yoga Enthusiast,90,6.247941991020901,4,7.27777818049276,1.8511285959560952,45,3.3782266051930043,2.229423931616454,0.55,2.85,0.53,6.0,4.74
S00008_D182,17,Other,Yoga Enthusiast,182,4.960974556075588,9,2.989332652639532,2.8137601686189733,51,3.903007538003419,3.269869810880423,3.01,8.37,-4.47,4.81,7.23
S00008_D365,17,Other,Yoga Enthusiast,365,5.208563214621013,4,1.279350235669758,3.1899423197708394,25,5.16288973571546,2.995232022901336,3.13,1.83,3.33,5.16,3.33
S00009_D003,24,Female,Occasional Drinker,3,6.164700183300852,7,5.336043807003744,1.6897583399920522,53,8.046451353908044,1.576563572946085,1.31,0.53,7.52,5.88,1.24
S00009_D007,24,Female,Occasional Drinker,7,6.100318378140667,3,7.183663347427565,1.6505143994540812,70,3.861483292677724,1.4930911922246846,0.42,0.63,3.23,5.74,3.38
S00009_D014,24,Female,Occasional Drinker,14,6.964486729784544,6,6.1230897105200075,2.032050455689209,50,5.654060042559766,1.5595301774843238,0.98,1.91,3.74,6.62,3.13
S00009_D021,24,Female,Occasional Drinker,21,7.298018275728181,7,5.867952615872263,2.7695314261393147,0,7.360800302610167,2.4712585713355693,1.19,2.11,5.25,7.17,2.37
S00009_D030,24,Female,Occasional Drinker,30,6.524187310255324,8,6.799782152903312,0.0,24,5.241437522316643,1.7295468566016101,1.18,4.49,0.75,6.35,4.62
S00009_D045,24,Female,Occasional Drinker,45,3.5622629468879694,10,4.981977674738117,2.9144346623673862,62,5.123793936299261,2.6971583465259594,2.01,7.57,-2.45,3.5,6.22
S00009_D090,24,Female,Occasional Drinker,90,5.143367048025963,8,0.7157903390855589,1.6814396553716089,81,3.1318021141319505,2.3114838685437427,11.18,7.18,-4.05,4.82,7.02
S00009_D182,24,Female,Occasional Drinker,182,5.832985934520023,5,4.273357566765775,1.4336606042272015,10,3.9264555091240183,2.700594157844845,1.17,3.77,0.16,5.8,4.92
S00009_D365,24,Female,Occasional Drinker,365,7.528505657740144,9,3.6051138101564484,3.4704055520874983,38,3.8327876871515523,2.9679875133782603,2.5,8.14,-4.31,7.19,7.15
S00010_D003,25,Female,Smoker,3,6.326266074184892,6,4.7289475462004855,2.9949877971025205,36,5.114800379911204,1.5566139915058845,1.27,2.44,2.67,6.11,3.66
S00010_D007,25,Female,Smoker,7,5.891504739280224,3,4.6685564333144045,3.345545228170083,63,6.319238702725773,1.9101838217740885,0.64,-1.41,7.73,5.59,1.14
S00010_D014,25,Female,Smoker,14,6.725367512969688,7,2.1917860337582296,3.359558767484179,80,5.731842485933817,1.6021818647062076,3.19,2.87,2.86,6.25,3.57
S00010_D021,25,Female,Smoker,21,5.535958589360997,6,5.150180201860921,3.2268006370409603,62,6.606522461416668,2.3522479853404223,1.17,1.75,4.86,5.27,2.57
S00010_D030,25,Female,Smoker,30,5.548814863967042,6,3.812864197843961,2.326486486727534,23,7.6733705139523884,2.204461469836616,1.57,0.53,7.14,5.48,1.43
S00010_D045,25,Female,Smoker,45,5.96907035128266,6,5.145461545817112,1.4257237703962504,40,7.288778321000773,2.1275186032669544,1.17,0.84,6.45,5.77,1.78
S00010_D090,25,Female,Smoker,90,7.348122020086513,5,3.032186505968935,1.8950948074785776,59,5.460557569623837,2.9734796579882987,1.65,2.51,2.95,6.92,3.52
S00010_D182,25,Female,Smoker,182,5.713884411994814,4,3.2466290675431777,2.830977632405631,70,4.441614085926892,3.421073307194307,1.23,2.98,1.46,5.39,4.27
S00010_D365,25,Female,Smoker,365,5.836556835551827,5,3.1679974063917022,0.5553001925944341,60,3.802153622409161,2.581670948106804,1.58,3.78,0.02,5.55,4.99
S00011_D003,21,Male,Smoker,3,6.3134391945008534,3,3.166188395846052,2.1010539235156127,20,7.006454512908738,1.190214103332499,0.95,-2.82,9.83,6.18,0.09
S00011_D007,21,Male,Smoker,7,8.002120148046796,6,6.760329637050575,3.591116794480917,73,4.0743913110748755,1.6097712579567416,0.89,3.54,0.53,7.44,4.73
S00011_D014,21,Male,Smoker,14,6.384472515008362,3,4.032901109579317,2.0690845563886535,58,5.498593225490522,1.9978672332298613,0.74,-0.5,6.0,6.06,2.0
S00011_D021,21,Male,Smoker,21,5.293980743526617,3,2.6024090454471254,3.4886057162610795,32,5.737448338738016,1.4978623181651005,1.15,-1.24,6.98,5.2,1.51
S00011_D030,21,Male,Smoker,30,6.30168492925236,6,5.345836746147125,2.5710507878635074,50,6.025643641045031,2.3495497956996467,1.12,2.32,3.71,6.02,3.15
S00011_D045,21,Male,Smoker,45,7.13034280718192,6,4.782872611181838,1.0582546439511449,56,5.222861472110643,2.6079798591477616,1.25,3.39,1.83,6.74,4.08
S00011_D090,21,Male,Smoker,90,5.683713932929473,8,1.579040253858564,1.7513769262024697,30,4.630144313324423,2.7922090907192008,5.07,6.16,-1.53,5.57,5.76
S00011_D182,21,Male,Smoker,182,6.888304567283467,7,4.609606748589305,3.1133207956483293,33,4.2845830962846065,2.7894276070180144,1.52,5.5,-1.22,6.63,5.61
S00011_D365,21,Male,Smoker,365,5.8835856698066085,8,4.151553130549034,2.7822946091436878,55,3.18719221484067,2.9230509188059894,1.93,7.74,-4.55,5.62,7.28
S00012_D003,20,Female,Sedentary,3,6.155834348904311,5,5.142769065578015,3.632913230094828,23,4.227115062373457,1.8245514525172462,0.97,2.6,1.63,6.03,4.19
S00012_D007,20,Female,Sedentary,7,6.612937256736549,6,2.406045960044832,3.3435706800288765,67,4.11797187974917,1.4658773657301598,2.49,3.35,0.77,6.22,4.62
S00012_D014,20,Female,Sedentary,14,5.553153006033447,5,3.717708324054314,1.7327245523126438,39,4.165853451683967,1.2316809667141095,1.34,2.07,2.1,5.4,3.95
S00012_D021,20,Female,Sedentary,21,7.566875344741028,5,2.623075851855123,3.3581381674195248,46,6.167419427780884,1.0020884722521073,1.91,-0.17,6.34,7.18,1.83
S00012_D030,20,Female,Sedentary,30,5.679046008832619,6,5.908918878986705,2.49817998361186,44,5.911566795727632,1.4328694018632384,1.02,1.52,4.39,5.49,2.8
S00012_D045,20,Female,Sedentary,45,8.638820622009447,7,7.162323265139479,2.959247455743605,16,4.743282899533241,2.9514240244273315,0.98,5.21,-0.47,8.29,5.23
S00012_D090,20,Female,Sedentary,90,7.734711928118668,8,2.7919072119183608,2.76006450464279,84,5.346000127530034,2.179728944992861,2.87,4.83,0.52,7.14,4.74
S00012_D182,20,Female,Sedentary,182,6.61749407249141,8,1.363315117848468,3.3879758936588127,15,3.418473209574029,2.6809023438591124,5.87,7.26,-3.84,6.48,6.92
S00012_D365,20,Female,Sedentary,365,4.42379858165978,2,2.195507534908407,1.5887581054930202,74,5.121254576988947,3.5335880179346697,0.91,0.41,4.71,4.21,2.64
S00013_D003,25,Female,Athlete,3,6.989406297097584,6,5.218753476745982,1.4588320793142484,24,7.125049178168578,1.7978587648801572,1.15,0.67,6.46,6.77,1.77
S00013_D007,25,Female,Athlete,7,8.152817833651723,5,4.35168195028249,3.2715916405790253,46,4.761638847135275,1.5197742792418252,1.15,1.76,3.0,7.71,3.5
S00013_D014,25,Female,Athlete,14,5.728531009294532,8,6.740653347461232,3.157211008095135,45,4.604319521558387,1.8593614193901946,1.19,5.26,-0.66,5.53,5.33
S00013_D021,25,Female,Athlete,21,8.193310626208191,8,4.406634549524849,2.44368886262517,4,4.697983464471612,2.1103152102382516,1.82,5.41,-0.71,7.95,5.36
S00013_D030,25,Female,Athlete,30,6.569945286827355,8,7.567524748752449,2.805705555468182,55,4.3032630278742685,2.2411858486839993,1.06,5.94,-1.64,6.24,5.82
S00013_D045,25,Female,Athlete,45,7.045241666548055,4,4.072775297541538,1.6846154820403618,102,4.908975205844584,1.7541964331378566,0.98,0.85,4.06,6.43,2.97
S00013_D090,25,Female,Athlete,90,4.182238415100745,6,6.4279518036884955,2.285711215547882,31,4.414586572105945,2.080582193368088,0.93,3.67,0.74,4.21,4.63
S00013_D182,25,Female,Athlete,182,6.810829276591722,10,2.735737283678305,3.9550622955720014,64,5.493632100501488,2.8519020315275765,3.66,7.36,-1.87,6.41,5.93
S00013_D365,25,Female,Athlete,365,7.166417966440898,5,2.9973510866230595,2.7540523626119557,33,4.038167850123156,3.0512104281888988,1.67,4.01,0.03,6.88,4.99
S00014_D003,20,Male,Smoker,3,7.119717318622748,7,2.417743341441472,2.4971437675023798,73,3.492517598868694,1.3416239708207127,2.9,4.85,-1.36,6.64,5.68
S00014_D007,20,Male,Smoker,7,5.64977063012902,5,7.4621400916633815,1.563525156430838,46,7.280868974022781,1.850706397216517,0.67,-0.43,7.71,5.45,1.14
S00014_D014,20,Male,Smoker,14,5.843818757217974,7,4.939726317456446,3.6710749723414717,32,5.8207579666521685,2.1682814923244753,1.42,3.35,2.47,5.7,3.76
S00014_D021,20,Male,Smoker,21,7.281459259922596,7,5.3293967571977525,3.5082418377567093,63,6.214753572538348,2.209734556087925,1.31,2.99,3.22,6.84,3.39
S00014_D030,20,Male,Smoker,30,6.41828798753118,3,6.050415679078414,3.2216898466025383,54,5.036150182993904,1.434783454460598,0.5,-0.6,5.64,6.11,2.18
S00014_D045,20,Male,Smoker,45,6.175852478453486,6,6.253015466282096,3.273353806724483,62,6.581566381456433,2.257951361074934,0.96,1.68,4.9,5.85,2.55
S00014_D090,20,Male,Smoker,90,6.371404445738449,10,2.1977523265480707,4.3945119262057455,49,1.7496423178364613,3.212568459811675,4.55,11.46,-9.71,6.09,9.86
S00014_D182,20,Male,Smoker,182,5.723336212812148,9,2.2292305044108334,3.0638545377200033,5,3.151134491651525,2.182526219398018,4.04,8.03,-4.88,5.73,7.44
S00014_D365,20,Male,Smoker,365,6.868712767249507,8,4.746898152700378,3.4898016442228004,12,3.6181665657413284,3.099751112499734,1.69,7.48,-3.86,6.72,6.93
S00015_D003,20,Female,Energy Drink Addict,3,8.400578608415392,6,4.451199595961742,2.706991490365541,41,7.484477839450765,1.8035335390207017,1.35,0.32,7.16,7.96,1.42
S00015_D007,20,Female,Energy Drink Addict,7,4.907843312724756,2,2.295950641007427,2.8495553200686503,57,7.866692155798789,1.5809548933320636,0.87,-4.29,12.16,4.73,-1.08
S00015_D014,20,Female,Energy Drink Addict,14,6.204665792662306,4,7.526031781860338,1.3304581946225207,60,5.804254526987868,1.207188627238725,0.53,-0.6,6.4,5.88,1.8
S00015_D021,20,Female,Energy Drink Addict,21,6.127007863753312,5,4.689504288472029,3.146129938243044,65,4.960007302150952,1.9264997293383455,1.07,1.97,2.99,5.79,3.5
S00015_D030,20,Female,Energy Drink Addict,30,6.557182845139121,8,4.387669037340147,5.048509272172133,45,4.836949951511084,1.216556788505647,1.82,4.38,0.46,6.28,4.77
S00015_D045,20,Female,Energy Drink Addict,45,5.774081818132507,4,6.207624840859985,2.271545437948991,21,7.276162180726246,2.811227968605739,0.64,-0.46,7.74,5.69,1.13
S00015_D090,20,Female,Energy Drink Addict,90,6.361061492592489,8,3.916846931959319,2.6190144035594924,8,5.73378628962293,3.099351024129762,2.04,5.37,0.36,6.28,4.82
S00015_D182,20,Female,Energy Drink Addict,182,6.677162906005981,8,1.9662521552135062,1.8164300008902468,15,9.100212341485644,2.736849728697529,4.07,1.64,7.46,6.53,1.27
S00015_D365,20,Female,Energy Drink Addict,365,5.9131263252076645,9,3.3992687967627218,2.3124758548994473,34,1.0339853813381352,3.162314705000228,2.65,11.13,-10.1,5.75,10.05
S00016_D003,20,Male,Athlete,3,8.416831373414462,6,3.100512367986001,1.65316916855753,28,5.688583541973693,1.2788197908303613,1.94,1.59,4.1,8.04,2.95
S00016_D007,20,Male,Athlete,7,4.948641868111917,7,2.2169382110153952,1.580566365460487,69,5.815519917567866,1.7877670500524743,3.16,2.97,2.85,4.71,3.58
S00016_D014,20,Male,Athlete,14,3.952444991760732,7,6.704784336376887,3.7655716992865518,32,4.298139497094708,1.6373894236903248,1.04,4.34,-0.04,4.0,5.02
S00016_D021,20,Male,Athlete,21,6.78820723133777,3,2.4837233787131456,1.7020637128287053,49,3.1048210813281676,1.4644653918521935,1.21,1.36,1.74,6.46,4.13
S00016_D030,20,Male,Athlete,30,9.0,9,8.008522915522096,2.1257527168502226,60,6.744060720800614,1.819624857434242,1.12,4.08,2.66,8.4,3.67
S00016_D045,20,Male,Athlete,45,8.197378645430511,7,3.6972737695763396,3.186059145849748,28,4.770268443014742,2.4402425380927757,1.89,4.67,0.1,7.84,4.95
S00016_D090,20,Male,Athlete,90,7.046621013177386,3,5.545261832895505,3.0917064991598444,52,5.312493033215597,2.4087045736882007,0.54,0.1,5.21,6.68,2.39
S00016_D182,20,Male,Athlete,182,6.136602179339473,7,4.070733708584837,4.975249694356468,26,4.77594605235622,3.8002997182914386,1.72,6.02,-1.24,5.99,5.62
S00016_D365,20,Male,Athlete,365,5.307673954171412,6,4.446755180622725,2.6413635916680693,1,2.9083388507494297,3.7454314136010707,1.35,6.84,-3.93,5.37,6.97
S00017_D003,24,Female,Early Riser,3,7.878779843237931,5,5.376930794353908,3.3316589136939863,58,4.378627138423477,1.4666509594312054,0.93,2.09,2.29,7.4,3.86
S00017_D007,24,Female,Early Riser,7,7.245418074031648,5,3.7646249750558756,1.6636681021734776,87,6.7450763227960895,0.37339955514043077,1.33,-1.37,8.12,6.69,0.94
S00017_D014,24,Female,Early Riser,14,6.540201389585883,5,6.952186099139821,2.422674771948011,47,4.980236024080638,2.563143937709521,0.72,2.58,2.4,6.25,3.8
S00017_D021,24,Female,Early Riser,21,4.5579685912912575,6,5.818765466999412,3.484829628464592,45,4.542161300983475,2.398935744929292,1.03,3.86,0.68,4.48,4.66
S00017_D030,24,Female,Early Riser,30,6.7310410185611325,3,3.178809393662252,2.7900455637596187,29,5.387187487911724,1.096870510520675,0.94,-1.29,6.68,6.51,1.66
S00017_D045,24,Female,Early Riser,45,6.835565730681434,6,8.155818669703129,4.352551505573799,78,1.7119286554092623,1.7034922264044585,0.74,5.99,-4.28,6.36,7.14
S00017_D090,24,Female,Early Riser,90,5.856453093299648,8,2.7145458054086724,2.0538712997506043,46,5.7739322768620225,3.0063801261037857,2.95,5.23,0.54,5.64,4.73
S00017_D182,24,Female,Early Riser,182,5.68204596227721,8,6.5354421622313374,2.925106297454464,13,5.779214620063485,3.1306707525516337,1.22,5.35,0.43,5.65,4.79
S00017_D365,24,Female,Early Riser,365,7.576395754318719,8,0.5,2.9714533220842028,23,3.2669012728455677,2.877279996319888,16.0,7.61,-4.34,7.3,7.17
S00018_D003,24,Female,Energy Drink Addict,3,5.954041937781587,5,3.363156874215044,3.987736941760087,55,5.938886229602565,1.6897653868604516,1.49,0.75,5.19,5.68,2.41
S00018_D007,24,Female,Energy Drink Addict,7,7.256962817152294,9,2.9616952878775367,1.5339457216122954,64,5.957114821390906,2.085805259578389,3.04,5.13,0.83,6.81,4.59
S00018_D014,24,Female,Energy Drink Addict,14,6.3266512120828615,6,2.5311444993431405,3.683095745204217,62,4.43464910110527,1.8007993976279628,2.37,3.37,1.06,5.98,4.47
